Anime_ID|Synopsis
11350|"Sometime in future Japan, androids have been involved in every aspect of peoples lives. One day, upon checking his android's behavioral log, Rikuo, a student, noticed his android's returning times have been odd recently. With his friend Masaki, they found out the place where his android, Sammy, have been visiting: a small cafe called Eve no Jikan where androids and human are not seen as different. Upon talking with the ""people"" in the cafe and discovering more of Sammy's behavior, Rikuo changed his view about androids and treat them as friends rather than tools. At the same time, elsewhere in Japan, the Ethics committee is trying to impose policies to reduce the involvement and use of androids in society."
889|A plain young hatter named Sophie has her life changed when an evil witch transforms her into an old woman. Unable to face her family in such a condition, Sophie runs away in search of a way to become young again. Along the way, Sophie helps a turnip headed scarecrow, who repays her by leading her to the moving castle owned by the dreaded wizard Howl. There she befriends Howl's apprentice Markl, Howl's fire demon Calcifer, and eventually, Howl himself. Sophie then becomes the castle's cleaning lady in an effort to not only find the solution to her problem but to save Howl from his own terrible secrets as well.
15054|Tsubasa and Hitagi discover that Koyomi has gone missing and has urged them in a text message not to look for him. However, in his absence, new dangerous apparitions begin to appear and target Tsubasa, and Nadeko who are left to try and deal with them on their own. Meanwhile, Koyomi Shinobu, and Mayoi are dealing with serious problems of their own.
15745|When an eclipse occurs, the sun remains dark in one area. The mushi expert Ginko must come and determine how to return the sun to the village before their crops die. The secret seems connected to twin girls who live nearby.
16644|
13944|Summer 1966: Kaoru Nishimi has moved to live with relatives in Kyūshū. He's been an aloof honor student his whole life, but that starts changing when he meets Sentarō Kawabuchi, the school's notorious bad boy. Through him, he learns the appeal of jazz and forms his first real friendships.
374|When Studio Gin'ei commissions filmmaker Gen'ya Tachibana to make a documentary in commemoration of its 70th anniversary, he travels to a secluded mountain lodge to interview the idol of his youth, the enigmatic Chiyoko Fujiwara, who was the studio's leading lady from the 1930s until the 1960s. As Chiyoko reminisces about her life, Tachibana and his cameraman suddenly find themselves on a rich and dazzling journey through time. Chiyoko's films and personal memories intertwine with present events and stretch the boundaries of reality.
7890|"""Mononoke"" continues the story of the medicine seller from the ""Bakeneko"" arc of ""Ayakashi,"" as he continues to face various dangerous spirits."
12542|Takashi Natsume sees spirits, and with the help of his lazy and sake-guzzling bodyguard Nyanko-sensei he returns to spirits their names that were stolen by his grandmother Reiko Natsume. Not all of the spirits are peaceful though, and he often fights to keep himself and his family and friends safe while at the same time fighting the loneliness that plagued him before he found his home.
1805|Sora, a young girl from Japan, comes to America in search of her dream. She wants, with all her heart, to be a member of the famous Kaleido Stage, a combination of musicals, acrobatics and magical effects. With the help of her friends, she struggles to make this dream come true.
6430|"On the first day of high school a beautiful girl named Haruhi Suzumiya introduces herself as having ""no interest in ordinary humans"". She asks for any aliens, time travelers, sliders or espers to join her. Watching her weird behaviour is Kyon who sits in front of Haruhi and is the only person who talks to her. When Kyon comments about Haruhi's joining every club in school and then quitting he unwittingly gives Haruhi an idea to start her own after school club. Thereafter Kyon and several others find themselves dragged, literally, into the Save our world by Overloading it with fun Suzumiya Haruhi's Brigade (the S.O.S. Brigade for short)."
7809|Tomoya Okazaki is a third year high school student resentful of his life. His mother passed away from a car accident when he was younger, causing his father to resort to alcohol and gambling. This results in fights between the two until Tomoya's shoulder is injured in a fight. Since then, Tomoya has had distant relationships with his father, causing him to become a delinquent over time. While on a walk to school, he meets a strange girl named Nagisa Furukawa who is a year older, but is repeating due to illness. Due to this, she is often alone as most of her friends have moved on. The two begin hanging out and slowly, as time goes by, Tomoya finds his life shifting in a new direction.
4194|Trying to escape his uneventful life, Albert, the son of a renowned general from Paris, makes a journey with his friend Franz. During his travels, he meets an immensely wealthy nobleman named The Count of Monte Cristo. Living in luxurious hotels, surrounded by beautiful women and strong bodyguards, the charming but enigmatic count fascinates Albert. Albert invites the count to join the high society of Paris. However, unknown to Albert, his father had once framed the count and took the Count's fiancee as his own.
6115|Nana Osaki is a guarded and ambitious young woman with a strong will and a rough past. She is the vocalist for a punk band called Black Stones and she desires fame and recognition more than anything else. Nana Komatsu is an outgoing and flighty young woman with a weak will and a stable past. Her life revolves around her desire to find love and marriage. The two meet for the first time while traveling to Tokyo - in pursuit of their respective dreams - and they later decide to be roommates. Although drastically different people, the two become very close and together they find out if their biggest dreams have room for their best friend.
2654|"In the year 2075, mankind has reached a point where journeying between Earth, the moon and the space stations is part of daily life. However, the progression of technology in space has also resulted in the problem of the space debris, which can cause excessive and even catastrophic damage to spacecrafts and equipment. This is the story of Technora's Debris Collecting section, its EVA worker, Hachirota ""Hachimaki"" Hoshino, and the newcomer to the group, Ai Tanabe."
10291|Erin is a bright and curious 10-year-old girl living at the small Ake village with her mother Soyon. The residents of this community are all devoted to the nurturing of a special kind of reptile named touda. Big and powerful, the creature is an important military asset of the country. Soyon is a wise and extremely skilled beast veterinarian who does the crucial task of taking care of these huge animals despite being somewhat disdained by many people due to the prejudice towards her lineage and gender. Erin admires her and wishes to one day become an expert like her mother. Sadly, the mysterious demise of two Kiba, the strongest type of touda, convicts Soyon as responsible for the calamity. Erin must then travel to a faraway land where she grows up trying to grasp a deeper understanding of both animals and mankind.
6300|During the winter, Yuichi was hospitalized due to hepatitis. Randomly he would try to escape from the hospital but would get beat up by the nurse. One day, he happened to meet Rika, a girl of his age, in the next building. He was fascinated by her beauty, but she was very selfish girl. Although she led him by the nose, he began to be attracted by her. However, when Rika told him about her illness, he knew why she acted so selfish; she didn't have long to live.
847|"Shizuku Tsukishima, a young girl in junior high, loves to read. Yet, every time she opens a library book, it seems the same name appears on the cards: ""Seiji Amasawa"". As Shizuku learns who this person is, she also begins to learn about herself and her goals in life—a discovery that will change her life forever."
481|A girl named Sheeta falls out of the sky and lands in Pazu's arms. Soon after a gang of air pirates led by Dola, as well as a mysterious man named Muska, are on their tails. The chase leads them to a floating castle that once belonged to an ancient race of people.
10576|Seven years after the defeat of the spiral king, Simon and the Dai-Gurren brigade must set out to the vastness of space to defeat a new threat and save the universe.
10885|In a world after death, angels fight for their fate and their future. Yuri, the leader of the Shinda Sekai Sensen, rebels against the god who destined her to have an unreasonable life. On the otherhand, Tenshi, the chairperson of the student council for the world after death, battles against the SSS members. SSS members utilize armed weaponry to battle it out against the angels harnessing supernatural powers.
6122|Haruhi is a poor tomboyish student at a school for the ultra-wealthy, able to attend because of a scholarship, and unable to even afford a uniform. One day, she stumbles across the decidedly peculiar but very popular Ouran Host Club. She tries to leave, but accidentally breaks a vase, and unable to pay for it, she's told that she'll have to stay and do odd jobs. That is, until they decide she would be more valuable as a club member. Not realizing she's female due to her appearance, they fix her up and give her a male uniform. She's an instant hit, so they decide to have her keep up the charade even after they find out the truth. Haruhi, being average almost to a fault, doesn't know what to make of the unconventional activities of the Host Club (or of the even more unconventional members), but having little choice, she plays along. Before long, real bonds are formed, friends made, and Haruhi finds herself accepted in a way she could never have been otherwise in this affluent school.
2636|Mugen is a fierce animal-like warrior with a unique Bboying (break-dance) inspired fighting style. Jin has a more traditional style but don’t think of this as a weakness because his skills are amazing. The two contrasting samurai warriors are far from friends, yet their separate paths seem to cross anyways. Mugen is wandering aimlessly through the city when he stumbles upon a teahouse where he meets Jin and Fuu (A ditzy waitress, but don‘t think she doesn‘t have anything hidden up her sleeves). Fuu convinces them both to come with her in search of a mysterious samurai that smells like sunflowers and their journey begins. This modernized hip-hop tale breaks the barriers of the common, historical, samurai anime.
10128|The anime once again tells two stories. The first story takes place in the past. Himura Yuu meets a girl, Amamiya Yuuko who seems to know him, but he doesn't know her. However, he soon remembers that she was a girl whom he knew from long ago. Yuuko then tells him something which he never knew. He was her first love since then, and her first love has not ended yet. The second story takes place in the present, just after the events of ef - A Tale of Memories. Shuuichi Kuze meets the cousin of Aso Renji, Hayama Mizuki and spends a lot of time with her. Unknown to Mizuki, Kuze had contracted a fatal illness and has little time left to live. Kuze had decided to break all romantic ties, but things go bad when Mizuki tells him that she loves him.
910|In the future, life between the digital and physical world has been blurred. The boundary of technology and humanity has been stretched beyond imagination with lives being led in both the electronic and physical worlds. With the melding of man and machine, a new cybernetic level of existence is being created —an existence that continues to redefine mankind.
16660|Hinata, Kageyama and the Karasuno volleyball team have had their fair share of losses, but that won’t keep them down for long. Practices begin anew, training camps are held and rivals are made.
8192|On Christmas Eve, Hiro Hirono meets a girl named Miyako Miyamura as she chases a purse snatcher. Hiro later finds out that Miyako also goes to the same school as he does and they start hanging out together. This makes Hiro's childhood friend, Kei Shindō, feel left out, so she tries to compete with Miyako for Hiro's affection, creating a love triangle. Meanwhile, Renji Asō meets a girl named Chihiro Shindō at an abandoned train station. He soon learns that Chihiro suffers from a type of amnesia where her memory lasts for only 13 hours. He also discovers Chihiro's dream of writing a novel, but she has never been able to fulfill that dream due to her condition. Renji then decides to help her fulfill that dream.
6634|Balsa the spearwoman is a wandering warrior, who takes on the task of saving lives, in atonement for a past sin. On her journey, she happens to save a prince, and is tasked with becoming his bodyguard. And he is going to need one, for his own father, the emperor, wants him dead.
8657|"It is the year 2301. Man has terraformed Mars into a beautiful water planet, and has renamed it ""Aqua"". Built upon it is Neo-Venezia, an exact replica of old Venice, with beautiful waterways, palaces and plazas. Akari Mizunashi, a 15 year old girl arrives from Man-Home (formerly known as Earth) to become a gondolier trainee at a company called Aria Company. The company is lead by Alicia Florence, one of the three best gondoliers, also known as the three Water Fairies. Trough hard training, Akari aims to become a Prima herself. Many encounters and mysterious events are sure to follow on this planet of miracles."
10269|Continuing where the first series left off, it follows Kraft Lawrence a experienced traveling merchant and his sharp tongued wolf god companion Holo on their journey to return to Holo's home to the north called Yoitsu. A tender relationship has blossomed between the characters, as they make deals, travel between cities, encounter religious fanatics or vice versa and mostly just do what a traveling merchant has to do to get by.
16108|Kōsei Arima was a piano prodigy until his mother died when he was eleven years old. The shock of losing her made him lose any interest in piano, and his life has felt monotonous ever since. Then, when he's fourteen, his childhood friend Tsubaki introduces him to her classmate Kaori, a free-spirited violinist. Her enthusiasm reignites his interest in music and in life.
17219|
6357|"Satou Tatsuhiro, a 22 year old young man, is a NEET (Not in Employment, Education, or Training) and a hikikomori (meaning acute social withdrawal). He believes everything around him is a conspiracy, including the reason why many people, himself included, become hikikomori. Due to this, Satou creates a strange conspiracy theory which includes the Nihon Hikikomori Kyōkai (NHK), a secret organization with the intention of producing a hikikomori filled world. Satou intends to break free from the NHK's clutches, but cannot, since he finds it too frightening to go outdoors by himself; that is, until he meets Misaki Nakahara, who selects Satou for her ""project"" that she claims will cure him of his hikikomori ways."
6832|"Okajima Rokuro—now known almost exclusively as ""Rock""—was once a typical, put-upon Japanese businessman. Then, on a routine business trip, he was kidnapped and ransomed by the Lagoon Company: a band of mercenary pirates operating out of the crime-riddled city of Roanapur. Abandoned by his bosses, he joined the Lagoon Company. Now he must try and stay afloat amongst the ever-shifting politics of the criminal underworld, while simultaneously avoiding death at the hands of his quick-tempered, gun-toting co-worker, ""Two Hand"" Revy."
4975|Takemoto Yuuta, Mayama Takumi, and Morita Shinobu are college students who share the small apartment. Even though they live in poverty, the three of them are able to obtain pleasure through small things in life. The story follows these characters' life stories as poor college students, as well as their love lives when a short but talented 18 year old girl called Hanamoto Hagumi appears.
12991|Chihaya Ayase is a frank and ebullient girl who becomes fascinated by the obscure world of competitive karuta, a card game based on Japanese poetry. Introduced to the aggressive style of the game by a quiet and thoughtful elementary school classmate named Arata Wataya, the two quickly become close friends. They start playing as a group with Taichi Mashima, Chihaya's smart and athletic childhood friend, until they have to part ways during their middle school years due to several circumstances. As their high school life begins, they meet once again.
